Enter client id: 787
Connected to the server.
Received ACK(123) from the server ('127.0.0.1', 4000).
Received ACK(124) from the server ('127.0.0.1', 4000).
Received ACK(125) from the server ('127.0.0.1', 4000).
Received ACK(126) from the server ('127.0.0.1', 4000).
Received ACK(127) from the server ('127.0.0.1', 4000).
Received ACK(128) from the server ('127.0.0.1', 4000).
Received ACK(129) from the server ('127.0.0.1', 4000).
Received ACK(130) from the server ('127.0.0.1', 4000).
Received ACK(131) from the server ('127.0.0.1', 4000).
Received ACK(132) from the server ('127.0.0.1', 4000).
Received ACK(133) from the server ('127.0.0.1', 4000).
Received ACK(134) from the server ('127.0.0.1', 4000).
Received ACK(135) from the server ('127.0.0.1', 4000).
Received ACK(136) from the server ('127.0.0.1', 4000).
Received ACK(137) from the server ('127.0.0.1', 4000).
Received ACK(138) from the server ('127.0.0.1', 4000).
Received ACK(139) from the server ('127.0.0.1', 4000).
Received ACK(140) from the server ('127.0.0.1', 4000).
Received ACK(141) from the server ('127.0.0.1', 4000).
Received ACK(142) from the server ('127.0.0.1', 4000).
Received ACK(143) from the server ('127.0.0.1', 4000).
Received ACK(144) from the server ('127.0.0.1', 4000).
Received ACK(145) from the server ('127.0.0.1', 4000).
Received ACK(146) from the server ('127.0.0.1', 4000).
Received ACK(147) from the server ('127.0.0.1', 4000).
Received ACK(148) from the server ('127.0.0.1', 4000).
Received ACK(149) from the server ('127.0.0.1', 4000).
Received ACK(150) from the server ('127.0.0.1', 4000).
Received ACK(151) from the server ('127.0.0.1', 4000).
Received ACK(152) from the server ('127.0.0.1', 4000).
Received ACK(153) from the server ('127.0.0.1', 4000).
Received ACK(154) from the server ('127.0.0.1', 4000).
Received ACK(155) from the server ('127.0.0.1', 4000).
Received ACK(156) from the server ('127.0.0.1', 4000).
Received ACK(157) from the server ('127.0.0.1', 4000).
Received ACK(158) from the server ('127.0.0.1', 4000).
Received ACK(159) from the server ('127.0.0.1', 4000).
Received ACK(160) from the server ('127.0.0.1', 4000).
Received ACK(161) from the server ('127.0.0.1', 4000).
Received ACK(162) from the server ('127.0.0.1', 4000).
Received ACK(163) from the server ('127.0.0.1', 4000).
Received ACK(164) from the server ('127.0.0.1', 4000).
Received ACK(165) from the server ('127.0.0.1', 4000).
Received ACK(166) from the server ('127.0.0.1', 4000).
Received ACK(167) from the server ('127.0.0.1', 4000).
Received ACK(168) from the server ('127.0.0.1', 4000).
Received ACK(169) from the server ('127.0.0.1', 4000).
Received ACK(170) from the server ('127.0.0.1', 4000).
Received ACK(171) from the server ('127.0.0.1', 4000).
Received ACK(172) from the server ('127.0.0.1', 4000).
Received ACK(173) from the server ('127.0.0.1', 4000).
Received ACK(174) from the server ('127.0.0.1', 4000).
Received ACK(175) from the server ('127.0.0.1', 4000).
Received ACK(176) from the server ('127.0.0.1', 4000).
Received ACK(177) from the server ('127.0.0.1', 4000).
Received ACK(178) from the server ('127.0.0.1', 4000).
Received ACK(179) from the server ('127.0.0.1', 4000).
Received ACK(180) from the server ('127.0.0.1', 4000).
Received ACK(181) from the server ('127.0.0.1', 4000).
Received ACK(182) from the server ('127.0.0.1', 4000).
Received ACK(183) from the server ('127.0.0.1', 4000).
Received ACK(184) from the server ('127.0.0.1', 4000).
Received ACK(185) from the server ('127.0.0.1', 4000).
Received ACK(186) from the server ('127.0.0.1', 4000).
Received ACK(187) from the server ('127.0.0.1', 4000).
Received ACK(188) from the server ('127.0.0.1', 4000).
Received ACK(189) from the server ('127.0.0.1', 4000).
Received ACK(190) from the server ('127.0.0.1', 4000).
Received ACK(191) from the server ('127.0.0.1', 4000).
Received ACK(192) from the server ('127.0.0.1', 4000).
Received ACK(193) from the server ('127.0.0.1', 4000).
Received ACK(194) from the server ('127.0.0.1', 4000).
Received ACK(195) from the server ('127.0.0.1', 4000).
Received ACK(196) from the server ('127.0.0.1', 4000).
Received ACK(197) from the server ('127.0.0.1', 4000).
Received ACK(198) from the server ('127.0.0.1', 4000).
Received ACK(199) from the server ('127.0.0.1', 4000).
Received ACK(200) from the server ('127.0.0.1', 4000).
Received ACK(201) from the server ('127.0.0.1', 4000).
Received ACK(202) from the server ('127.0.0.1', 4000).
Received ACK(203) from the server ('127.0.0.1', 4000).
Received ACK(204) from the server ('127.0.0.1', 4000).
Received ACK(205) from the server ('127.0.0.1', 4000).
Received ACK(206) from the server ('127.0.0.1', 4000).
Received ACK(207) from the server ('127.0.0.1', 4000).
Received ACK(208) from the server ('127.0.0.1', 4000).
Received ACK(209) from the server ('127.0.0.1', 4000).
Received ACK(210) from the server ('127.0.0.1', 4000).
Received ACK(211) from the server ('127.0.0.1', 4000).
Received ACK(212) from the server ('127.0.0.1', 4000).
Received ACK(213) from the server ('127.0.0.1', 4000).
Received ACK(214) from the server ('127.0.0.1', 4000).
Received ACK(215) from the server ('127.0.0.1', 4000).
Received ACK(216) from the server ('127.0.0.1', 4000).
Received ACK(217) from the server ('127.0.0.1', 4000).
Received ACK(218) from the server ('127.0.0.1', 4000).
Received ACK(219) from the server ('127.0.0.1', 4000).
Received ACK(220) from the server ('127.0.0.1', 4000).
Received ACK(221) from the server ('127.0.0.1', 4000).
Received ACK(222) from the server ('127.0.0.1', 4000).
Received ACK(223) from the server ('127.0.0.1', 4000).
Received ACK(224) from the server ('127.0.0.1', 4000).
Received ACK(225) from the server ('127.0.0.1', 4000).
Received ACK(226) from the server ('127.0.0.1', 4000).
Received ACK(227) from the server ('127.0.0.1', 4000).
Received ACK(228) from the server ('127.0.0.1', 4000).
Received ACK(229) from the server ('127.0.0.1', 4000).
Received ACK(230) from the server ('127.0.0.1', 4000).
Received ACK(231) from the server ('127.0.0.1', 4000).
Received ACK(232) from the server ('127.0.0.1', 4000).
Received ACK(233) from the server ('127.0.0.1', 4000).
Received ACK(234) from the server ('127.0.0.1', 4000).
Received ACK(235) from the server ('127.0.0.1', 4000).
Received ACK(236) from the server ('127.0.0.1', 4000).
Received ACK(237) from the server ('127.0.0.1', 4000).
Received ACK(238) from the server ('127.0.0.1', 4000).
Received ACK(239) from the server ('127.0.0.1', 4000).
Received ACK(240) from the server ('127.0.0.1', 4000).
Received ACK(241) from the server ('127.0.0.1', 4000).
Received ACK(242) from the server ('127.0.0.1', 4000).
Received ACK(243) from the server ('127.0.0.1', 4000).
Received ACK(244) from the server ('127.0.0.1', 4000).
Received ACK(245) from the server ('127.0.0.1', 4000).
Received ACK(246) from the server ('127.0.0.1', 4000).
Received ACK(247) from the server ('127.0.0.1', 4000).
Received ACK(248) from the server ('127.0.0.1', 4000).
Received ACK(249) from the server ('127.0.0.1', 4000).
Received ACK(250) from the server ('127.0.0.1', 4000).
Received ACK(251) from the server ('127.0.0.1', 4000).
Received ACK(252) from the server ('127.0.0.1', 4000).
Received ACK(253) from the server ('127.0.0.1', 4000).
Received ACK(254) from the server ('127.0.0.1', 4000).
Received ACK(255) from the server ('127.0.0.1', 4000).
Received ACK(256) from the server ('127.0.0.1', 4000).
Received ACK(257) from the server ('127.0.0.1', 4000).
Received ACK(258) from the server ('127.0.0.1', 4000).
Received ACK(259) from the server ('127.0.0.1', 4000).
Received ACK(260) from the server ('127.0.0.1', 4000).
Received ACK(261) from the server ('127.0.0.1', 4000).
Received ACK(262) from the server ('127.0.0.1', 4000).
Received ACK(263) from the server ('127.0.0.1', 4000).
Received ACK(264) from the server ('127.0.0.1', 4000).
Received ACK(265) from the server ('127.0.0.1', 4000).
Received ACK(266) from the server ('127.0.0.1', 4000).
Received ACK(267) from the server ('127.0.0.1', 4000).
Received ACK(268) from the server ('127.0.0.1', 4000).
Received ACK(269) from the server ('127.0.0.1', 4000).
Received ACK(270) from the server ('127.0.0.1', 4000).
Received ACK(271) from the server ('127.0.0.1', 4000).
Received ACK(272) from the server ('127.0.0.1', 4000).
Received ACK(273) from the server ('127.0.0.1', 4000).
Received ACK(274) from the server ('127.0.0.1', 4000).
Received ACK(275) from the server ('127.0.0.1', 4000).
Received ACK(276) from the server ('127.0.0.1', 4000).
Received ACK(277) from the server ('127.0.0.1', 4000).
Received ACK(278) from the server ('127.0.0.1', 4000).
Received ACK(279) from the server ('127.0.0.1', 4000).
Received ACK(280) from the server ('127.0.0.1', 4000).
Received ACK(281) from the server ('127.0.0.1', 4000).
Received ACK(282) from the server ('127.0.0.1', 4000).
Received ACK(283) from the server ('127.0.0.1', 4000).
Received ACK(284) from the server ('127.0.0.1', 4000).
Received ACK(285) from the server ('127.0.0.1', 4000).
Received ACK(286) from the server ('127.0.0.1', 4000).
Received ACK(287) from the server ('127.0.0.1', 4000).
Received ACK(288) from the server ('127.0.0.1', 4000).
Received ACK(289) from the server ('127.0.0.1', 4000).
Received ACK(290) from the server ('127.0.0.1', 4000).
Received ACK(291) from the server ('127.0.0.1', 4000).
Received ACK(292) from the server ('127.0.0.1', 4000).
Received ACK(293) from the server ('127.0.0.1', 4000).
Received ACK(294) from the server ('127.0.0.1', 4000).
Received ACK(295) from the server ('127.0.0.1', 4000).
Received ACK(296) from the server ('127.0.0.1', 4000).
Received ACK(297) from the server ('127.0.0.1', 4000).
Received ACK(298) from the server ('127.0.0.1', 4000).
Received ACK(299) from the server ('127.0.0.1', 4000).
Received ACK(300) from the server ('127.0.0.1', 4000).
Received ACK(301) from the server ('127.0.0.1', 4000).
Received ACK(302) from the server ('127.0.0.1', 4000).
Received ACK(303) from the server ('127.0.0.1', 4000).
Received ACK(304) from the server ('127.0.0.1', 4000).
Received ACK(305) from the server ('127.0.0.1', 4000).
Received ACK(306) from the server ('127.0.0.1', 4000).
Received ACK(307) from the server ('127.0.0.1', 4000).
Received ACK(308) from the server ('127.0.0.1', 4000).
Received ACK(309) from the server ('127.0.0.1', 4000).
Received ACK(310) from the server ('127.0.0.1', 4000).
Received ACK(311) from the server ('127.0.0.1', 4000).
Received ACK(312) from the server ('127.0.0.1', 4000).
Received ACK(313) from the server ('127.0.0.1', 4000).
Received ACK(314) from the server ('127.0.0.1', 4000).
Received ACK(315) from the server ('127.0.0.1', 4000).
Received ACK(316) from the server ('127.0.0.1', 4000).
Received ACK(317) from the server ('127.0.0.1', 4000).
Received ACK(318) from the server ('127.0.0.1', 4000).
Received ACK(319) from the server ('127.0.0.1', 4000).
Received ACK(320) from the server ('127.0.0.1', 4000).
Received ACK(321) from the server ('127.0.0.1', 4000).
Received ACK(322) from the server ('127.0.0.1', 4000).
Received ACK(323) from the server ('127.0.0.1', 4000).
Received ACK(324) from the server ('127.0.0.1', 4000).
Received ACK(325) from the server ('127.0.0.1', 4000).
Received ACK(326) from the server ('127.0.0.1', 4000).
Received ACK(327) from the server ('127.0.0.1', 4000).
Received ACK(328) from the server ('127.0.0.1', 4000).
Received ACK(329) from the server ('127.0.0.1', 4000).
Received ACK(330) from the server ('127.0.0.1', 4000).
Received ACK(331) from the server ('127.0.0.1', 4000).
Received ACK(332) from the server ('127.0.0.1', 4000).
Received ACK(333) from the server ('127.0.0.1', 4000).
Received ACK(334) from the server ('127.0.0.1', 4000).
Received ACK(335) from the server ('127.0.0.1', 4000).
Received ACK(336) from the server ('127.0.0.1', 4000).
Received ACK(337) from the server ('127.0.0.1', 4000).
Received ACK(338) from the server ('127.0.0.1', 4000).
Received ACK(339) from the server ('127.0.0.1', 4000).
Received ACK(340) from the server ('127.0.0.1', 4000).
Received ACK(341) from the server ('127.0.0.1', 4000).
Received ACK(342) from the server ('127.0.0.1', 4000).
Received ACK(343) from the server ('127.0.0.1', 4000).
Received ACK(344) from the server ('127.0.0.1', 4000).
Received ACK(345) from the server ('127.0.0.1', 4000).
Received ACK(346) from the server ('127.0.0.1', 4000).
Received ACK(347) from the server ('127.0.0.1', 4000).
Received ACK(348) from the server ('127.0.0.1', 4000).
Received ACK(349) from the server ('127.0.0.1', 4000).
Received ACK(350) from the server ('127.0.0.1', 4000).
Received ACK(351) from the server ('127.0.0.1', 4000).
Received ACK(352) from the server ('127.0.0.1', 4000).
Received ACK(353) from the server ('127.0.0.1', 4000).
Received ACK(354) from the server ('127.0.0.1', 4000).
Received ACK(355) from the server ('127.0.0.1', 4000).
Received ACK(356) from the server ('127.0.0.1', 4000).
Received ACK(357) from the server ('127.0.0.1', 4000).
Received ACK(358) from the server ('127.0.0.1', 4000).
Received ACK(359) from the server ('127.0.0.1', 4000).
Received ACK(360) from the server ('127.0.0.1', 4000).
Received ACK(361) from the server ('127.0.0.1', 4000).
Received ACK(362) from the server ('127.0.0.1', 4000).
Received ACK(363) from the server ('127.0.0.1', 4000).
Received ACK(364) from the server ('127.0.0.1', 4000).
Received ACK(365) from the server ('127.0.0.1', 4000).
Received ACK(366) from the server ('127.0.0.1', 4000).
Received ACK(367) from the server ('127.0.0.1', 4000).
Received ACK(368) from the server ('127.0.0.1', 4000).
Received ACK(369) from the server ('127.0.0.1', 4000).
Received ACK(370) from the server ('127.0.0.1', 4000).
Received ACK(371) from the server ('127.0.0.1', 4000).
Received ACK(372) from the server ('127.0.0.1', 4000).
Received ACK(373) from the server ('127.0.0.1', 4000).
Received ACK(374) from the server ('127.0.0.1', 4000).
Received ACK(375) from the server ('127.0.0.1', 4000).
Received ACK(376) from the server ('127.0.0.1', 4000).
Received ACK(377) from the server ('127.0.0.1', 4000).
Received ACK(378) from the server ('127.0.0.1', 4000).
Received ACK(379) from the server ('127.0.0.1', 4000).
Received ACK(380) from the server ('127.0.0.1', 4000).
Received ACK(381) from the server ('127.0.0.1', 4000).
Received ACK(382) from the server ('127.0.0.1', 4000).
Received ACK(383) from the server ('127.0.0.1', 4000).
Received ACK(384) from the server ('127.0.0.1', 4000).
Received ACK(385) from the server ('127.0.0.1', 4000).
Received ACK(386) from the server ('127.0.0.1', 4000).
Received ACK(387) from the server ('127.0.0.1', 4000).
Received ACK(388) from the server ('127.0.0.1', 4000).
Received ACK(389) from the server ('127.0.0.1', 4000).
Received ACK(390) from the server ('127.0.0.1', 4000).
Received ACK(391) from the server ('127.0.0.1', 4000).
Received ACK(392) from the server ('127.0.0.1', 4000).
Received ACK(393) from the server ('127.0.0.1', 4000).
Received ACK(394) from the server ('127.0.0.1', 4000).
Received ACK(395) from the server ('127.0.0.1', 4000).
Received ACK(396) from the server ('127.0.0.1', 4000).
Received ACK(397) from the server ('127.0.0.1', 4000).
Received ACK(398) from the server ('127.0.0.1', 4000).
Received ACK(399) from the server ('127.0.0.1', 4000).
Received ACK(400) from the server ('127.0.0.1', 4000).
Received ACK(401) from the server ('127.0.0.1', 4000).
Received ACK(402) from the server ('127.0.0.1', 4000).
Received ACK(403) from the server ('127.0.0.1', 4000).
Received ACK(404) from the server ('127.0.0.1', 4000).
Received ACK(405) from the server ('127.0.0.1', 4000).
Received ACK(406) from the server ('127.0.0.1', 4000).
Received ACK(407) from the server ('127.0.0.1', 4000).
Received ACK(408) from the server ('127.0.0.1', 4000).
Received ACK(409) from the server ('127.0.0.1', 4000).
Received ACK(410) from the server ('127.0.0.1', 4000).
Received ACK(411) from the server ('127.0.0.1', 4000).
Received ACK(412) from the server ('127.0.0.1', 4000).
Received ACK(413) from the server ('127.0.0.1', 4000).
Received ACK(414) from the server ('127.0.0.1', 4000).
Received ACK(415) from the server ('127.0.0.1', 4000).
Received ACK(416) from the server ('127.0.0.1', 4000).
Received ACK(417) from the server ('127.0.0.1', 4000).
Received ACK(418) from the server ('127.0.0.1', 4000).
Received ACK(419) from the server ('127.0.0.1', 4000).
Received ACK(420) from the server ('127.0.0.1', 4000).
Received ACK(421) from the server ('127.0.0.1', 4000).
Received ACK(422) from the server ('127.0.0.1', 4000).
Received ACK(423) from the server ('127.0.0.1', 4000).
Received ACK(424) from the server ('127.0.0.1', 4000).
Received ACK(425) from the server ('127.0.0.1', 4000).
Received ACK(426) from the server ('127.0.0.1', 4000).
Received ACK(427) from the server ('127.0.0.1', 4000).
Received ACK(428) from the server ('127.0.0.1', 4000).
Received ACK(429) from the server ('127.0.0.1', 4000).
Received ACK(430) from the server ('127.0.0.1', 4000).
Received ACK(431) from the server ('127.0.0.1', 4000).
Received ACK(432) from the server ('127.0.0.1', 4000).
Received ACK(433) from the server ('127.0.0.1', 4000).
Received ACK(434) from the server ('127.0.0.1', 4000).
Received ACK(435) from the server ('127.0.0.1', 4000).
Received ACK(436) from the server ('127.0.0.1', 4000).
Received ACK(437) from the server ('127.0.0.1', 4000).
Received ACK(438) from the server ('127.0.0.1', 4000).
Received ACK(439) from the server ('127.0.0.1', 4000).
Received ACK(440) from the server ('127.0.0.1', 4000).
Received ACK(441) from the server ('127.0.0.1', 4000).
Received ACK(442) from the server ('127.0.0.1', 4000).
Received ACK(443) from the server ('127.0.0.1', 4000).
Received ACK(444) from the server ('127.0.0.1', 4000).
Received ACK(445) from the server ('127.0.0.1', 4000).
Received ACK(446) from the server ('127.0.0.1', 4000).
Received ACK(447) from the server ('127.0.0.1', 4000).
Received ACK(448) from the server ('127.0.0.1', 4000).
Received ACK(449) from the server ('127.0.0.1', 4000).
Received ACK(450) from the server ('127.0.0.1', 4000).
Received ACK(451) from the server ('127.0.0.1', 4000).
Received ACK(452) from the server ('127.0.0.1', 4000).
Received ACK(453) from the server ('127.0.0.1', 4000).
Received ACK(454) from the server ('127.0.0.1', 4000).
Received ACK(455) from the server ('127.0.0.1', 4000).
Received ACK(456) from the server ('127.0.0.1', 4000).
Received ACK(457) from the server ('127.0.0.1', 4000).
Received ACK(458) from the server ('127.0.0.1', 4000).
Received ACK(459) from the server ('127.0.0.1', 4000).
Received ACK(460) from the server ('127.0.0.1', 4000).
Received ACK(461) from the server ('127.0.0.1', 4000).
Received ACK(462) from the server ('127.0.0.1', 4000).
Received ACK(463) from the server ('127.0.0.1', 4000).
Received ACK(464) from the server ('127.0.0.1', 4000).
Received ACK(465) from the server ('127.0.0.1', 4000).
Received ACK(466) from the server ('127.0.0.1', 4000).
Received ACK(467) from the server ('127.0.0.1', 4000).
Received ACK(468) from the server ('127.0.0.1', 4000).
Received ACK(469) from the server ('127.0.0.1', 4000).
Received ACK(470) from the server ('127.0.0.1', 4000).
Received ACK(471) from the server ('127.0.0.1', 4000).
